Code,Name,Median_2001,Median_2011
E01000137,Barnet 041A,24770.00,32720.00
E01000138,Barnet 040A,27330.00,36840.00
E01000139,Barnet 041B,29470.00,39690.00
E01000140,Barnet 041C,29530.00,36780.00
E01000141,Barnet 039A,26810.00,32420.00
E01000142,Barnet 040B,28220.00,35040.00
E01000143,Barnet 041D,23890.00,33110.00
E01000144,Barnet 038C,31250.00,43950.00
E01000145,Barnet 037A,33410.00,42520.00
E01000146,Barnet 038D,31500.00,41460.00
E01000147,Barnet 030A,24280.00,33560.00
E01000148,Barnet 030B,21500.00,29610.00
E01000150,Barnet 036A,23670.00,32180.00
E01000151,Barnet 026B,19710.00,27600.00
E01000152,Barnet 026C,21000.00,27520.00
E01000153,Barnet 026D,20280.00,28650.00
E01000154,Barnet 026E,19600.00,27200.00
E01000155,Barnet 030D,23210.00,31300.00
E01000156,Barnet 022A,28740.00,39510.00
E01000157,Barnet 022B,26650.00,36450.00
E01000158,Barnet 015A,26970.00,37580.00
E01000159,Barnet 015B,27630.00,39500.00
E01000160,Barnet 015C,30880.00,41330.00
E01000161,Barnet 015D,29120.00,37190.00
E01000162,Barnet 015E,27600.00,37290.00
E01000163,Barnet 022C,24230.00,32340.00
E01000164,Barnet 022D,24280.00,33790.00
E01000165,Barnet 022E,29770.00,37990.00
E01000166,Barnet 003A,28220.00,39390.00
E01000167,Barnet 002A,24980.00,34740.00
E01000168,Barnet 003B,29740.00,43090.00
E01000169,Barnet 003C,28100.00,39600.00
E01000170,Barnet 006A,26270.00,36870.00
E01000171,Barnet 006B,27530.00,36200.00
E01000172,Barnet 003D,29230.00,40750.00
E01000173,Barnet 006C,28240.00,40240.00
E01000174,Barnet 006D,26490.00,36110.00
E01000175,Barnet 006E,29310.00,40940.00
E01000176,Barnet 027A,24920.00,34160.00
E01000177,Barnet 029A,30770.00,42630.00
E01000178,Barnet 027B,30490.00,41350.00
E01000179,Barnet 029B,29630.00,42100.00
E01000180,Barnet 029C,27790.00,38810.00
E01000181,Barnet 029D,30680.00,45890.00
E01000182,Barnet 029E,29860.00,43220.00
E01000183,Barnet 033A,31260.00,45880.00
E01000184,Barnet 027C,24350.00,33140.00
E01000185,Barnet 029F,22890.00,32220.00
E01000186,Barnet 014A,31870.00,43250.00
E01000187,Barnet 014B,28410.00,38650.00
E01000188,Barnet 014C,32480.00,44020.00
E01000189,Barnet 014D,22330.00,31430.00
E01000190,Barnet 014E,30280.00,41870.00
E01000191,Barnet 014F,30260.00,42710.00
E01000192,Barnet 018A,29170.00,37510.00
E01000193,Barnet 018B,29460.00,38270.00
E01000194,Barnet 018C,27410.00,35590.00
E01000195,Barnet 013A,23380.00,31470.00
E01000196,Barnet 028A,30260.00,40680.00
E01000197,Barnet 023A,30650.00,41870.00
E01000198,Barnet 025A,31140.00,43490.00
E01000199,Barnet 025B,32850.00,45740.00
E01000200,Barnet 028B,31960.00,43400.00
E01000201,Barnet 028C,34940.00,51120.00
E01000202,Barnet 028D,32670.00,46690.00
E01000203,Barnet 028E,29040.00,39830.00
E01000204,Barnet 025C,32520.00,43580.00
E01000205,Barnet 035A,36090.00,50700.00
E01000206,Barnet 033B,51680.00,72430.00
E01000207,Barnet 033C,38090.00,55210.00
E01000208,Barnet 033D,35920.00,52080.00
E01000209,Barnet 035B,35940.00,49950.00
E01000210,Barnet 033E,35580.00,51120.00
E01000211,Barnet 035C,30470.00,40730.00
E01000212,Barnet 035D,38310.00,52340.00
E01000213,Barnet 033F,49520.00,68560.00
E01000214,Barnet 038E,34430.00,47820.00
E01000215,Barnet 037B,29640.00,41980.00
E01000216,Barnet 035E,33210.00,45860.00
E01000217,Barnet 035F,33640.00,45590.00
E01000218,Barnet 037C,30440.00,42010.00
E01000219,Barnet 037D,29410.00,40490.00
E01000220,Barnet 037E,30750.00,39500.00
E01000221,Barnet 039B,22650.00,30520.00
E01000222,Barnet 040C,27870.00,34590.00
E01000223,Barnet 039C,23730.00,32440.00
E01000224,Barnet 040D,28640.00,36810.00
E01000225,Barnet 037F,32320.00,44390.00
E01000226,Barnet 018D,23010.00,30860.00
E01000227,Barnet 018E,28350.00,39350.00
E01000228,Barnet 007A,29650.00,44630.00
E01000229,Barnet 013B,24800.00,35120.00
E01000230,Barnet 013C,28780.00,38940.00
E01000231,Barnet 013D,27010.00,37090.00
E01000232,Barnet 013E,28470.00,39010.00
E01000233,Barnet 013F,28880.00,40070.00
E01000234,Barnet 021D,28880.00,40240.00
E01000235,Barnet 021E,23770.00,34360.00
E01000236,Barnet 034A,28250.00,40570.00
E01000237,Barnet 032A,28690.00,39160.00
E01000238,Barnet 034B,29240.00,39360.00
E01000239,Barnet 031A,28000.00,36580.00
E01000240,Barnet 031B,28410.00,38470.00
E01000241,Barnet 031C,29290.00,40600.00
E01000242,Barnet 032B,29600.00,40090.00
E01000243,Barnet 032C,28090.00,36060.00
E01000244,Barnet 032D,28420.00,37160.00
E01000245,Barnet 032E,24220.00,33150.00
E01000246,Barnet 002B,30730.00,42140.00
E01000247,Barnet 002C,29350.00,40710.00
E01000248,Barnet 001A,31220.00,44370.00
E01000249,Barnet 001B,31270.00,46630.00
E01000250,Barnet 001C,29950.00,41970.00
E01000251,Barnet 002D,28410.00,38000.00
E01000252,Barnet 002E,28820.00,39580.00
E01000253,Barnet 007B,38350.00,50290.00
E01000254,Barnet 001D,31670.00,45910.00
E01000255,Barnet 017A,28210.00,37430.00
E01000256,Barnet 016A,30040.00,43080.00
E01000257,Barnet 017B,26010.00,33970.00
E01000258,Barnet 016B,30910.00,43310.00
E01000259,Barnet 025D,28910.00,40780.00
E01000260,Barnet 025E,29420.00,39100.00
E01000261,Barnet 017C,30840.00,42710.00
E01000262,Barnet 017D,31100.00,39200.00
E01000263,Barnet 016C,34790.00,51000.00
E01000264,Barnet 016D,28450.00,39550.00
E01000265,Barnet 011A,26830.00,35730.00
E01000266,Barnet 011B,33340.00,44930.00
E01000267,Barnet 005A,30240.00,42080.00
E01000268,Barnet 005B,28560.00,39250.00
E01000269,Barnet 005C,29510.00,41030.00
E01000270,Barnet 005D,29670.00,42170.00
E01000271,Barnet 008A,31340.00,42590.00
E01000272,Barnet 008B,37290.00,48030.00
E01000273,Barnet 008C,29080.00,39510.00
E01000274,Barnet 011C,27390.00,36640.00
E01000275,Barnet 012A,31680.00,41650.00
E01000276,Barnet 020A,33960.00,49680.00
E01000277,Barnet 012B,29650.00,37240.00
E01000278,Barnet 020B,33370.00,48880.00
E01000279,Barnet 007C,39190.00,56760.00
