Code,Name,Median_2001,Median_2011
E01001188,Croydon 014D,25050.00,33310.00
E01001189,Croydon 045B,27240.00,35960.00
E01001190,Croydon 045C,25790.00,35190.00
E01001191,Croydon 008D,24090.00,31340.00
E01001192,Croydon 008E,23930.00,32280.00
E01001193,Croydon 014E,24380.00,32210.00
E01001194,Croydon 045D,26070.00,36730.00
E01032569,Croydon 045E,22710.00,31490.00
E01001195,Ealing 021A,28000.00,38420.00
E01001196,Ealing 015A,23550.00,30520.00
E01001197,Ealing 021B,27770.00,38450.00
E01001198,Ealing 021C,30340.00,38950.00
E01001199,Ealing 021D,27290.00,37310.00
E01001200,Ealing 025A,29380.00,39140.00
E01001201,Ealing 025B,28460.00,39880.00
E01001202,Ealing 025C,26090.00,33250.00
E01001203,Ealing 025D,26300.00,33800.00
E01001204,Ealing 018A,31170.00,42500.00
E01001205,Ealing 018B,26230.00,35500.00
E01001206,Ealing 018C,23950.00,31900.00
E01001207,Ealing 018D,30290.00,41390.00
E01001208,Ealing 018E,32110.00,45530.00
E01001209,Ealing 013A,33630.00,49360.00
E01001210,Ealing 016A,22330.00,30200.00
E01001211,Ealing 013B,31180.00,44100.00
E01001212,Ealing 018F,29840.00,42970.00
E01001213,Ealing 023A,20870.00,29280.00
E01001214,Ealing 023B,22960.00,31760.00
E01001215,Ealing 023C,20800.00,29240.00
E01001216,Ealing 023D,21880.00,31600.00
E01001217,Ealing 014A,25270.00,34010.00
E01001218,Ealing 012A,21270.00,29370.00
E01001219,Ealing 029A,19240.00,27350.00
E01001220,Ealing 029B,18650.00,26020.00
E01001221,Ealing 020A,32030.00,41990.00
E01001222,Ealing 019A,32420.00,40990.00
E01001223,Ealing 020B,34710.00,46630.00
E01001224,Ealing 019B,38660.00,49590.00
E01001225,Ealing 020C,33310.00,45350.00
E01001226,Ealing 019C,33970.00,44240.00
E01001227,Ealing 019D,36600.00,48200.00
E01001228,Ealing 019E,34260.00,43700.00
E01001229,Ealing 031A,26960.00,36050.00
E01001230,Ealing 031B,33970.00,45350.00
E01001231,Ealing 027A,33830.00,43610.00
E01001232,Ealing 031C,30370.00,40560.00
E01001233,Ealing 031D,30530.00,40270.00
E01001234,Ealing 027B,31430.00,41380.00
E01001235,Ealing 020D,33870.00,45100.00
E01001236,Ealing 020E,32630.00,43360.00
E01001237,Ealing 031E,33470.00,45590.00
E01001238,Ealing 015B,24590.00,31910.00
E01001239,Ealing 015C,23710.00,31030.00
E01001240,Ealing 024A,24700.00,32640.00
E01001241,Ealing 024B,25450.00,33280.00
E01001242,Ealing 024C,26720.00,34720.00
E01001243,Ealing 024D,24690.00,32410.00
E01001244,Ealing 024E,22420.00,31930.00
E01001245,Ealing 024F,27560.00,37060.00
E01001246,Ealing 015D,24680.00,32220.00
E01001247,Ealing 015E,25230.00,34180.00
E01001248,Ealing 035A,28090.00,39610.00
E01001249,Ealing 028A,24880.00,33960.00
E01001250,Ealing 028B,26690.00,34360.00
E01001251,Ealing 030A,29320.00,39890.00
E01001252,Ealing 030B,27410.00,37120.00
E01001253,Ealing 030C,28440.00,39410.00
E01001254,Ealing 030D,29190.00,41000.00
E01001255,Ealing 028C,29910.00,41440.00
E01001257,Ealing 008A,19030.00,27290.00
E01001258,Ealing 010B,23830.00,32180.00
E01001259,Ealing 014B,25440.00,32630.00
E01001260,Ealing 012B,24480.00,32740.00
E01001261,Ealing 012C,23570.00,31530.00
E01001262,Ealing 010C,21840.00,30260.00
E01001263,Ealing 010D,21970.00,30150.00
E01001264,Ealing 010E,22950.00,31410.00
E01001265,Ealing 006A,26380.00,34000.00
E01001266,Ealing 006B,27130.00,35920.00
E01001267,Ealing 006C,24480.00,32400.00
E01001268,Ealing 012D,27620.00,37360.00
E01001269,Ealing 001A,26700.00,35810.00
E01001270,Ealing 004A,26800.00,37220.00
E01001271,Ealing 001B,25730.00,35250.00
E01001272,Ealing 006D,26790.00,35840.00
E01001273,Ealing 020F,34140.00,46640.00
E01001274,Ealing 020G,34080.00,45570.00
E01001275,Ealing 020H,32870.00,42860.00
E01001276,Ealing 011A,29350.00,37030.00
E01001277,Ealing 011B,30960.00,39750.00
E01001278,Ealing 011C,29930.00,38600.00
E01001279,Ealing 013C,35310.00,50930.00
E01001280,Ealing 011D,32490.00,41580.00
E01001281,Ealing 013D,34590.00,50270.00
E01001282,Ealing 016B,23680.00,30980.00
E01001283,Ealing 016C,23360.00,30660.00
E01001284,Ealing 022A,28540.00,40180.00
E01001285,Ealing 016D,25870.00,34220.00
E01001286,Ealing 016E,25750.00,33910.00
E01001287,Ealing 016F,24650.00,32410.00
E01001288,Ealing 022B,27780.00,41150.00
E01001289,Ealing 022C,29460.00,41440.00
E01001290,Ealing 022D,29490.00,40180.00
E01001291,Ealing 014C,25020.00,33860.00
E01001292,Ealing 014D,25510.00,36370.00
E01001293,Ealing 014E,24660.00,33530.00
E01001294,Ealing 017A,24020.00,32200.00
E01001295,Ealing 017B,24290.00,32820.00
E01001296,Ealing 017C,23250.00,31890.00
E01001297,Ealing 017D,22280.00,31610.00
E01001298,Ealing 017E,22460.00,30720.00
E01001299,Ealing 035B,33110.00,46220.00
E01001300,Ealing 039A,34870.00,48170.00
E01001301,Ealing 039B,31960.00,41900.00
E01001302,Ealing 039C,33290.00,45230.00
E01001303,Ealing 032A,35560.00,49180.00
E01001304,Ealing 039D,32420.00,44050.00
E01001305,Ealing 035C,32970.00,47520.00
E01001306,Ealing 035D,33300.00,46690.00
E01001307,Ealing 002A,27990.00,37360.00
E01001308,Ealing 002B,28890.00,37800.00
E01001309,Ealing 001C,26880.00,35900.00
E01001310,Ealing 001D,26020.00,35920.00
E01001311,Ealing 001E,23710.00,32400.00
E01001312,Ealing 002C,26810.00,36360.00
E01001313,Ealing 002D,27230.00,37170.00
E01001314,Ealing 002E,27280.00,37580.00
E01001315,Ealing 003A,24070.00,32680.00
E01001316,Ealing 003B,19830.00,29340.00
E01001317,Ealing 003C,22370.00,30990.00
E01001318,Ealing 003D,20180.00,29690.00
E01001319,Ealing 004B,24520.00,34720.00
E01001320,Ealing 003E,21180.00,28810.00
E01001321,Ealing 003F,24010.00,32540.00
E01001322,Ealing 004C,24650.00,34720.00
E01001323,Ealing 004D,24920.00,34220.00
E01001324,Ealing 008B,23500.00,30970.00
E01001325,Ealing 009A,20640.00,30290.00
E01001326,Ealing 008C,21700.00,28890.00
E01001327,Ealing 009B,21990.00,30010.00
E01001328,Ealing 009C,21130.00,28920.00
E01001329,Ealing 009D,21710.00,30950.00
E01001330,Ealing 008D,19370.00,26840.00
E01001331,Ealing 009E,20220.00,27920.00
E01001332,Ealing 008E,19850.00,28140.00
E01001333,Ealing 038A,20540.00,27610.00
E01001334,Ealing 029C,18860.00,25680.00
E01001335,Ealing 038B,26600.00,34210.00
E01001336,Ealing 038C,22360.00,31330.00
E01001337,Ealing 029D,23130.00,30910.00
E01001338,Ealing 029E,22060.00,29430.00
E01001339,Ealing 029F,22600.00,28940.00
E01001340,Ealing 029G,23840.00,31450.00
E01001341,Ealing 005A,26740.00,35590.00
E01001342,Ealing 005B,27070.00,35410.00
E01001343,Ealing 005C,27350.00,36620.00
E01001344,Ealing 007A,27030.00,35780.00
E01001345,Ealing 005D,24360.00,33330.00
E01001346,Ealing 007B,27130.00,37320.00
E01001347,Ealing 007C,26630.00,36400.00
E01001348,Ealing 007D,27080.00,37670.00
E01001349,Ealing 006E,24690.00,33880.00
E01001350,Ealing 027C,29800.00,40830.00
E01001351,Ealing 025E,26350.00,34380.00
E01001352,Ealing 027D,31440.00,41440.00
E01001353,Ealing 033A,25790.00,34260.00
E01001354,Ealing 027E,31200.00,41470.00
E01001355,Ealing 033B,27140.00,33790.00
E01001356,Ealing 033C,21210.00,26980.00
E01001357,Ealing 033D,22490.00,29730.00
E01001358,Ealing 033E,21190.00,27630.00
E01001359,Ealing 026A,21460.00,28780.00
E01001360,Ealing 026B,21150.00,29910.00
E01001361,Ealing 023E,21370.00,28720.00
E01001362,Ealing 026C,21400.00,29240.00
E01001363,Ealing 026D,21640.00,28460.00
E01001364,Ealing 026E,20210.00,28100.00
E01001365,Ealing 026F,21850.00,29200.00
E01001366,Ealing 037A,21070.00,28470.00
E01001367,Ealing 037B,20810.00,27180.00
E01001368,Ealing 037C,21160.00,29390.00
E01001369,Ealing 038D,20750.00,27840.00
E01001370,Ealing 037D,21750.00,29140.00
E01001371,Ealing 037E,20960.00,28150.00
E01001372,Ealing 037F,21210.00,28420.00
E01001373,Ealing 037G,20970.00,28370.00
E01001374,Ealing 040A,33480.00,45050.00
E01001375,Ealing 034A,38210.00,53080.00
E01001376,Ealing 040B,30840.00,41670.00
E01001377,Ealing 034B,38030.00,53740.00
E01001379,Ealing 034C,37970.00,53580.00
E01001380,Ealing 040C,33900.00,46230.00
E01001381,Ealing 034D,31250.00,42840.00
E01001382,Ealing 032B,35990.00,50630.00
E01001383,Ealing 028D,31450.00,43170.00
E01001384,Ealing 032C,33580.00,46510.00
E01001385,Ealing 032D,34090.00,47630.00
E01001386,Ealing 031F,35680.00,48930.00
E01001387,Ealing 032E,33290.00,44920.00
E01001388,Ealing 028E,28880.00,38190.00
E01001389,Ealing 028F,30620.00,39500.00
E01032572,Ealing 040D,34160.00,46150.00
E01032743,Ealing 010F,23300.00,31530.00
E01032744,Ealing 010G,21820.00,30700.00
E01001390,Enfield 036A,29250.00,40300.00
E01001391,Enfield 036B,25500.00,35290.00
E01001392,Enfield 032A,29640.00,40100.00
E01001393,Enfield 036C,28570.00,37850.00
E01001394,Enfield 035A,24740.00,33450.00
E01001395,Enfield 035B,23890.00,32260.00
E01001396,Enfield 036D,26790.00,36270.00
E01001397,Enfield 035C,25100.00,33810.00
E01001398,Enfield 021A,32160.00,44730.00
E01001399,Enfield 021B,31440.00,42480.00
E01001400,Enfield 021C,30640.00,42640.00
E01001401,Enfield 016A,29060.00,40450.00
E01001402,Enfield 021D,32020.00,43860.00
E01001403,Enfield 021E,28730.00,39410.00
E01001404,Enfield 026A,27790.00,38420.00
E01001405,Enfield 015A,29670.00,39500.00
E01001406,Enfield 015B,28500.00,37610.00
E01001407,Enfield 005A,26570.00,36660.00
E01001408,Enfield 004A,28100.00,39500.00
E01001409,Enfield 005B,24420.00,32260.00
E01001410,Enfield 005C,22780.00,30400.00
E01001411,Enfield 004B,28050.00,39350.00
E01001412,Enfield 004C,26500.00,36750.00
E01001413,Enfield 004D,29270.00,41740.00
E01001414,Enfield 004E,22040.00,32450.00
E01001415,Enfield 011A,29890.00,39540.00
E01001416,Enfield 013A,33050.00,46720.00
E01001417,Enfield 011B,39970.00,53030.00
E01001418,Enfield 011C,29630.00,40960.00
E01001419,Enfield 020A,30090.00,39140.00
E01001420,Enfield 020B,27440.00,36730.00
E01001421,Enfield 020C,27350.00,35330.00
E01001422,Enfield 011D,44340.00,59310.00
E01001423,Enfield 027A,21200.00,29900.00
E01001424,Enfield 030A,18310.00,27720.00
E01001425,Enfield 027B,20160.00,26360.00
E01001426,Enfield 030B,19790.00,27030.00
E01001427,Enfield 030C,18930.00,25910.00
E01001428,Enfield 027C,19980.00,28400.00
E01001429,Enfield 030D,17650.00,26000.00
E01001430,Enfield 030E,18920.00,24840.00
E01001431,Enfield 033A,20320.00,27820.00
E01001432,Enfield 033B,20950.00,28610.00
E01001433,Enfield 007A,21540.00,29940.00
E01001434,Enfield 007B,23870.00,32230.00
E01001435,Enfield 007C,24230.00,32900.00
E01001436,Enfield 007D,24590.00,32540.00
E01001437,Enfield 014A,21480.00,28340.00
E01001438,Enfield 007E,24130.00,31130.00
E01001439,Enfield 006A,21590.00,27990.00
E01001440,Enfield 012A,22600.00,30420.00
E01001441,Enfield 006B,22480.00,28700.00
E01001442,Enfield 002A,21400.00,26580.00
E01001444,Enfield 001A,23750.00,32300.00
E01001445,Enfield 003B,24930.00,32200.00
E01001446,Enfield 001B,24620.00,31070.00
E01001447,Enfield 003C,22110.00,29030.00
E01001448,Enfield 003D,23170.00,30840.00
E01001449,Enfield 003E,23450.00,31470.00
E01001450,Enfield 015C,29510.00,38130.00
E01001451,Enfield 017A,32220.00,45110.00
E01001452,Enfield 017B,35450.00,49500.00
E01001453,Enfield 017C,35070.00,46510.00
E01001454,Enfield 017D,32490.00,47120.00
E01001455,Enfield 021F,31730.00,43110.00
E01001456,Enfield 022A,36050.00,50470.00
E01001457,Enfield 010A,32110.00,43770.00
E01001458,Enfield 037A,19860.00,26550.00
E01001459,Enfield 024A,24480.00,32770.00
E01001460,Enfield 024B,22660.00,29600.00
E01001461,Enfield 027D,20410.00,28010.00
E01001462,Enfield 024C,23460.00,30350.00
E01001463,Enfield 031A,24380.00,32270.00
E01001464,Enfield 027E,21130.00,28770.00
E01001465,Enfield 031B,24320.00,32460.00
E01001466,Enfield 031C,23910.00,30800.00
E01001467,Enfield 031D,23560.00,32140.00
E01001468,Enfield 010B,31600.00,43260.00
E01001469,Enfield 008A,28640.00,39810.00
E01001470,Enfield 013B,31370.00,43490.00
E01001471,Enfield 010C,30400.00,41580.00
E01001472,Enfield 010D,30700.00,41140.00
E01001473,Enfield 013C,29860.00,40810.00
E01001474,Enfield 010E,32860.00,45130.00
E01001475,Enfield 013D,32530.00,45220.00
E01001476,Enfield 018A,23290.00,31940.00
E01001477,Enfield 018B,22250.00,30410.00
E01001478,Enfield 016B,24600.00,34150.00
E01001479,Enfield 023A,22780.00,31190.00
E01001480,Enfield 024D,24150.00,32850.00
E01001481,Enfield 018C,23760.00,31890.00
E01001482,Enfield 023B,22080.00,29580.00
E01001483,Enfield 025A,20360.00,27290.00
E01001484,Enfield 016C,24300.00,33690.00
E01001485,Enfield 025B,21660.00,28460.00
E01001486,Enfield 025C,21130.00,27100.00
E01001487,Enfield 023C,22490.00,28890.00
E01001488,Enfield 024E,24070.00,31940.00
E01001489,Enfield 023D,22140.00,30320.00
E01001491,Enfield 023E,21950.00,29970.00
E01001492,Enfield 025E,22670.00,29860.00
E01001493,Enfield 026B,26130.00,34970.00
E01001494,Enfield 026C,27850.00,36920.00
E01001495,Enfield 029A,30500.00,40090.00
E01001496,Enfield 026D,29680.00,39460.00
E01001497,Enfield 031E,26420.00,35830.00
E01001498,Enfield 029B,29380.00,39360.00
E01001499,Enfield 031F,26700.00,36400.00
E01001500,Enfield 035D,28590.00,38270.00
E01001501,Enfield 036E,27840.00,37030.00
E01001502,Enfield 018D,22880.00,30440.00
E01001503,Enfield 018E,24040.00,31040.00
E01001504,Enfield 012B,23300.00,30880.00
E01001505,Enfield 012C,22730.00,30090.00
E01001506,Enfield 014B,21540.00,29010.00
E01001507,Enfield 012D,21610.00,28000.00
E01001508,Enfield 012E,23720.00,30150.00
E01001509,Enfield 014C,22250.00,28160.00
E01001510,Enfield 014D,18400.00,25900.00
E01001511,Enfield 016D,26750.00,36410.00
E01001512,Enfield 015D,27510.00,35770.00
E01001513,Enfield 012F,23940.00,31600.00
E01001514,Enfield 016E,26760.00,36570.00
E01001515,Enfield 015E,23670.00,30450.00
E01001516,Enfield 005D,23990.00,32050.00
E01001517,Enfield 006C,20680.00,26650.00
E01001518,Enfield 016F,26700.00,37650.00
E01001519,Enfield 020D,30730.00,38790.00
E01001520,Enfield 019A,29390.00,40260.00
E01001521,Enfield 028A,32910.00,45470.00
E01001522,Enfield 019B,32340.00,41270.00
E01001523,Enfield 019C,30800.00,41950.00
E01001524,Enfield 019D,29560.00,40500.00
E01001525,Enfield 020E,29860.00,39740.00
E01001526,Enfield 019E,31790.00,42540.00
E01001527,Enfield 036F,29850.00,41410.00
E01001528,Enfield 032B,23830.00,32790.00
E01001529,Enfield 032C,26080.00,33450.00
E01001530,Enfield 032D,28240.00,38880.00
E01001531,Enfield 028B,35050.00,48970.00
E01001532,Enfield 028C,33290.00,47650.00
E01001533,Enfield 028D,34150.00,47590.00
E01001534,Enfield 032E,30090.00,41530.00
E01001535,Enfield 028E,31510.00,44910.00
E01001536,Enfield 008B,31070.00,42590.00
E01001537,Enfield 005E,28270.00,39210.00
E01001538,Enfield 009A,30730.00,42210.00
E01001539,Enfield 009B,30120.00,41310.00
E01001540,Enfield 008C,30140.00,40740.00
E01001541,Enfield 008D,31260.00,43200.00
E01001542,Enfield 008E,27310.00,37370.00
E01001543,Enfield 009C,30750.00,42250.00
E01001544,Enfield 009D,31000.00,42440.00
E01001545,Enfield 002B,21030.00,27490.00
E01001546,Enfield 001C,23540.00,31840.00
E01001547,Enfield 002C,24080.00,30270.00
E01001548,Enfield 002D,23120.00,30350.00
E01001549,Enfield 006D,21470.00,26150.00
E01001550,Enfield 006E,23710.00,29910.00
E01001551,Enfield 002E,22190.00,28990.00
E01001552,Enfield 001D,24550.00,33280.00
E01001553,Enfield 037B,20940.00,27550.00
E01001554,Enfield 037C,19050.00,25700.00
E01001555,Enfield 033C,22020.00,29820.00
E01001556,Enfield 035E,25130.00,33240.00
E01001557,Enfield 033D,21220.00,31240.00
E01001558,Enfield 033E,20130.00,28570.00
E01001559,Enfield 033F,21530.00,29830.00
E01001560,Enfield 035F,23400.00,31500.00
E01001562,Enfield 037D,20730.00,26830.00
E01001563,Enfield 029C,31030.00,41300.00
E01001564,Enfield 022B,33740.00,47800.00
E01001565,Enfield 029D,31190.00,41620.00
E01001566,Enfield 029E,32950.00,44970.00
E01001567,Enfield 022C,35040.00,48920.00
E01001568,Enfield 022D,37060.00,50130.00
E01001569,Enfield 022E,32110.00,45950.00
E01001570,Enfield 026E,28910.00,39940.00
E01032574,Enfield 037E,22060.00,29630.00
E01033146,Enfield 025F,23500.00,27680.00
E01033148,Enfield 003F,26230.00,31870.00
E01033150,Enfield 003G,29080.00,32550.00
E01033151,Enfield 025G,20380.00,26340.00
E01001571,Greenwich 008A,23590.00,35220.00
E01001572,Greenwich 008B,23660.00,35630.00
E01001573,Greenwich 008C,24160.00,35120.00
E01001574,Greenwich 008D,20360.00,30190.00
E01001575,Greenwich 003A,20660.00,29660.00
E01001576,Greenwich 003B,20200.00,29920.00
E01001577,Greenwich 003C,20670.00,29470.00
E01001578,Greenwich 003D,21660.00,31950.00
E01001579,Greenwich 003E,21000.00,31260.00
E01001580,Greenwich 021A,33190.00,50110.00
E01001581,Greenwich 016A,30320.00,43200.00
E01001582,Greenwich 021B,30070.00,44580.00
E01001583,Greenwich 021C,32870.00,49080.00
E01001584,Greenwich 021D,34800.00,51610.00
E01001585,Greenwich 016B,34070.00,47270.00
E01001586,Greenwich 016C,28660.00,42690.00
E01001587,Greenwich 016D,33840.00,46470.00
E01001588,Greenwich 012A,23450.00,33940.00
E01001589,Greenwich 012B,23860.00,34440.00
E01001590,Greenwich 014A,26860.00,40730.00
E01001591,Greenwich 012C,23220.00,32290.00
E01001592,Greenwich 014B,27690.00,42900.00
E01001593,Greenwich 014C,29100.00,44540.00
E01001594,Greenwich 014D,21340.00,35130.00
E01001595,Greenwich 012D,23190.00,33790.00
E01001596,Greenwich 032A,28860.00,41610.00
E01001597,Greenwich 031A,27590.00,39000.00
E01001598,Greenwich 031B,28260.00,39380.00
E01001599,Greenwich 032B,26640.00,38460.00
E01001600,Greenwich 032C,27650.00,39250.00
E01001601,Greenwich 032D,28550.00,40700.00
E01001602,Greenwich 031C,23800.00,34040.00
E01001603,Greenwich 031D,22330.00,32790.00
E01001604,Greenwich 027A,30180.00,44990.00
E01001605,Greenwich 023A,29670.00,42910.00
E01001606,Greenwich 023B,29450.00,43090.00
E01001607,Greenwich 027B,28620.00,40910.00
E01001608,Greenwich 027C,31700.00,47130.00
E01001609,Greenwich 027D,28090.00,40630.00
E01001610,Greenwich 023C,28820.00,40650.00
E01001611,Greenwich 023D,26990.00,39040.00
E01001613,Greenwich 028A,26140.00,37390.00
E01001614,Greenwich 028B,29960.00,42710.00
E01001615,Greenwich 028C,26420.00,38040.00
E01001617,Greenwich 028D,26060.00,38500.00
E01001618,Greenwich 030C,25420.00,34400.00
E01001619,Greenwich 030D,27190.00,37590.00
E01001620,Greenwich 025A,20580.00,32600.00
E01001621,Greenwich 025B,22100.00,34680.00
E01001623,Greenwich 025C,23350.00,35380.00
E01001624,Greenwich 025D,23080.00,35680.00
E01001625,Greenwich 025E,19930.00,31480.00
E01001629,Greenwich 009A,19540.00,30140.00
E01001631,Greenwich 007B,20710.00,29700.00
E01001632,Greenwich 007C,22300.00,32590.00
E01001633,Greenwich 009B,20280.00,30940.00
E01001634,Greenwich 009C,19550.00,29320.00
E01001635,Greenwich 007D,24280.00,34450.00
E01001636,Greenwich 007E,22550.00,32490.00
E01001637,Greenwich 009D,21940.00,31950.00
E01001638,Greenwich 038A,23860.00,34680.00
E01001640,Greenwich 035A,24050.00,36000.00
E01001641,Greenwich 038B,30790.00,44010.00
E01001642,Greenwich 038C,33780.00,50340.00
E01001644,Greenwich 038D,29480.00,42980.00
E01001645,Greenwich 022A,22970.00,34800.00
E01001646,Greenwich 019A,24860.00,35750.00
E01001647,Greenwich 022B,25750.00,37290.00
E01001648,Greenwich 022C,27670.00,38680.00
E01001649,Greenwich 022D,22470.00,34190.00
E01001650,Greenwich 019B,22050.00,33410.00
E01001651,Greenwich 019C,21840.00,32220.00
E01001652,Greenwich 019D,26960.00,38600.00
E01001653,Greenwich 029A,20130.00,30210.00
E01001654,Greenwich 029B,22150.00,31300.00
E01001655,Greenwich 029C,20360.00,29820.00
E01001656,Greenwich 034A,28120.00,40760.00
E01001657,Greenwich 034B,29410.00,44340.00
E01001658,Greenwich 034C,26420.00,37950.00
E01001659,Greenwich 034D,27000.00,38890.00
E01001660,Greenwich 029D,23310.00,32410.00
E01001661,Greenwich 029E,22110.00,32610.00
E01001662,Greenwich 037A,30190.00,44200.00
E01001664,Greenwich 037B,28530.00,43000.00
E01001665,Greenwich 037C,29630.00,42580.00
E01001666,Greenwich 036A,26130.00,37890.00
E01001667,Greenwich 036B,22120.00,33730.00
E01001668,Greenwich 036C,28080.00,39210.00
E01001669,Greenwich 033A,22020.00,33620.00
E01001671,Greenwich 033B,23400.00,35310.00
E01001672,Greenwich 006A,22250.00,31600.00
E01001673,Greenwich 006B,20970.00,28860.00
E01001674,Greenwich 006C,22790.00,33030.00
E01001675,Greenwich 006D,22800.00,32120.00
E01001676,Greenwich 033C,22100.00,31980.00
E01001677,Greenwich 006E,23900.00,33900.00
E01001678,Greenwich 017A,25750.00,37000.00
E01001679,Greenwich 020A,27750.00,40840.00
E01001680,Greenwich 020B,29460.00,42920.00
E01001681,Greenwich 020C,27380.00,39930.00
E01001682,Greenwich 020D,28020.00,41250.00
E01001683,Greenwich 017B,25800.00,36280.00
E01001684,Greenwich 017C,24390.00,35480.00
E01001685,Greenwich 017D,25000.00,35630.00
E01001686,Greenwich 020E,25860.00,37480.00
E01001687,Greenwich 002A,22370.00,33670.00
E01001688,Greenwich 002B,25530.00,35790.00
E01001690,Greenwich 001A,21320.00,31340.00
E01001692,Greenwich 001B,21300.00,31110.00
E01001693,Greenwich 001C,21550.00,30690.00
E01001694,Greenwich 001D,22580.00,32700.00
E01001695,Greenwich 011A,19420.00,28240.00
E01001696,Greenwich 011B,19450.00,27730.00
E01001697,Greenwich 011C,21630.00,30830.00
E01001698,Greenwich 015A,20210.00,30640.00
E01001699,Greenwich 015B,22560.00,32130.00
E01001700,Greenwich 011D,21270.00,31050.00
E01001701,Greenwich 015C,22880.00,35630.00
E01001702,Greenwich 015D,18470.00,30190.00
E01001703,Greenwich 011E,18820.00,27780.00
E01001704,Greenwich 011F,23210.00,33960.00
E01001705,Greenwich 005A,19580.00,28900.00
E01001706,Greenwich 005B,20510.00,30740.00
E01001708,Greenwich 005C,23700.00,36550.00
E01001709,Greenwich 004B,21080.00,30010.00
E01001710,Greenwich 005D,19210.00,28120.00
E01001711,Greenwich 004C,24340.00,33250.00
E01001712,Greenwich 004D,19230.00,31780.00
E01001713,Greenwich 005E,19140.00,29540.00
E01032567,Greenwich 033D,24320.00,35690.00
E01033726,Greenwich 034E,21240.00,33870.00
E01033727,Greenwich 035B,24400.00,37450.00
E01033728,Greenwich 035C,33800.00,45370.00
E01033729,Greenwich 030E,24140.00,31050.00
E01033730,Greenwich 035D,25150.00,41190.00
E01033731,Greenwich 004E,22010.00,39020.00
E01033732,Greenwich 036D,28180.00,40700.00
E01033733,Greenwich 036E,28920.00,45550.00
E01033734,Greenwich 004F,24010.00,38470.00
E01033735,Greenwich 004G,19150.00,32710.00
E01033736,Greenwich 004H,23420.00,42640.00
E01033737,Greenwich 004I,18310.00,30140.00
E01033738,Greenwich 037D,28570.00,40300.00
E01033739,Greenwich 002E,31230.00,35810.00
E01033740,Greenwich 002F,29740.00,38020.00
E01033741,Greenwich 002G,25650.00,36740.00
E01033742,Greenwich 007F,22190.00,38020.00
E01033743,Greenwich 002H,27170.00,36300.00
E01033744,Greenwich 007G,23000.00,33220.00
E01033745,Greenwich 002I,26370.00,36940.00
E01033746,Greenwich 038E,29850.00,45220.00
E01001714,Hackney 002A,22910.00,31730.00
E01001715,Hackney 007A,28560.00,42720.00
E01001716,Hackney 007B,24220.00,37690.00
E01001717,Hackney 007C,27870.00,40010.00
E01001718,Hackney 007D,29420.00,44980.00
E01001719,Hackney 007E,23660.00,36000.00
E01001720,Hackney 007F,29620.00,44900.00
E01001722,Hackney 029A,22300.00,34430.00
E01001723,Hackney 006A,26720.00,41480.00
E01001724,Hackney 006B,26370.00,40240.00
E01001725,Hackney 004A,26160.00,38560.00
E01001726,Hackney 004B,21710.00,32830.00
E01001727,Hackney 006C,26990.00,41450.00
E01001728,Hackney 029B,22460.00,35080.00
E01001729,Hackney 019A,19540.00,29300.00
E01001730,Hackney 019B,19100.00,28740.00
E01001731,Hackney 017A,22010.00,34080.00
E01001732,Hackney 019C,20010.00,29340.00
E01001733,Hackney 015A,25510.00,38380.00
E01001734,Hackney 017B,24010.00,35330.00
E01001735,Hackney 019D,24060.00,34520.00
E01001736,Hackney 012A,30130.00,45020.00
E01001737,Hackney 012B,29760.00,46620.00
E01001738,Hackney 012C,29900.00,44300.00
E01001739,Hackney 012D,30650.00,45820.00
E01001740,Hackney 014A,22090.00,33940.00
E01001741,Hackney 009A,31910.00,49210.00
E01001742,Hackney 008A,26380.00,40530.00
E01001744,Hackney 021B,24550.00,37570.00
E01001745,Hackney 016A,22000.00,33070.00
E01001746,Hackney 016B,21850.00,31340.00
E01001747,Hackney 014B,25410.00,37440.00
E01001748,Hackney 020A,25180.00,39250.00
E01001749,Hackney 020B,27840.00,42400.00
E01001750,Hackney 021C,24560.00,38580.00
E01001751,Hackney 021D,32040.00,48790.00
E01001752,Hackney 025A,23850.00,39560.00
E01001753,Hackney 025B,20680.00,32130.00
E01001754,Hackney 025C,22400.00,35720.00
E01001755,Hackney 025D,21710.00,33090.00
E01001756,Hackney 021E,27390.00,41670.00
E01001757,Hackney 016C,19400.00,30790.00
E01001758,Hackney 016D,22880.00,32440.00
E01001759,Hackney 016E,24600.00,35230.00
E01001760,Hackney 017C,23660.00,35570.00
E01001761,Hackney 016F,22550.00,34230.00
E01001762,Hackney 017D,25250.00,37860.00
E01001763,Hackney 020C,25240.00,38820.00
E01001764,Hackney 010A,23250.00,36000.00
E01001765,Hackney 010B,20250.00,30390.00
E01001767,Hackney 010D,24360.00,36960.00
E01001768,Hackney 006D,26130.00,39980.00
E01001769,Hackney 006E,26960.00,40100.00
E01001770,Hackney 010E,22680.00,32550.00
E01001772,Hackney 024A,19330.00,30420.00
E01001773,Hackney 025E,19870.00,33340.00
E01001774,Hackney 024B,23700.00,35600.00
E01001775,Hackney 024C,20020.00,31290.00
E01001776,Hackney 025F,19900.00,30320.00
E01001777,Hackney 027B,22290.00,35140.00
E01001779,Hackney 026A,24060.00,34520.00
E01001780,Hackney 027D,22250.00,34440.00
E01001781,Hackney 026B,20280.00,29750.00
